Idea_ID	Idea_Number	Idea_Author_ID	Idea_Author_Department	Idea_Author_Title	Up_Down	Voter_ID	Voter_Department	Voter_Title	Timestamp
273681	4	247267	KÖS?GD	Business Analyst	Down	246065	?D	Software Analyst	7/11/2017 3:39
273681	4	247267	KÖS?GD	Business Analyst	Down	247122	DH	Senior Advisor	7/11/2017 3:28
273681	4	247267	KÖS?GD	Business Analyst	Down	247125	SPHvDTUD	Software Architect	7/11/2017 3:26
273681	4	247267	KÖS?GD	Business Analyst	Up	247177	SG	Director	7/11/2017 3:24
273681	4	247267	KÖS?GD	Business Analyst	Down	247267	KÖS?GD	Business Analyst	7/11/2017 3:33
273681	4	247267	KÖS?GD	Business Analyst	Up	247360	MYD	Director	7/11/2017 3:18
273681	4	247267	KÖS?GD	Business Analyst	Down	247371	MKDD	Solution Architect	7/11/2017 3:30
273681	4	247267	KÖS?GD	Business Analyst	Down	247527	ÇKBD	Software Analyst	7/11/2017 3:27
273681	4	247267	KÖS?GD	Business Analyst	Down	247646	SPHvDTUD	Software Engineer	7/11/2017 3:20
273681	4	247267	KÖS?GD	Business Analyst	Down	247738	SPHvDTUD	Software Analyst	7/11/2017 3:29
273681	4	247267	KÖS?GD	Business Analyst	Down	247750	FvKUD	Software Analyst	7/11/2017 3:27
273683	5	247738	SPHvDTUD	Software Analyst	Up	246065	?D	Software Analyst	7/11/2017 3:39
273683	5	247738	SPHvDTUD	Software Analyst	Up	247097	?KD	Team Manager	7/19/2017 22:54
273683	5	247738	SPHvDTUD	Software Analyst	Down	247117	ÜYvTUD	Software Analyst	7/23/2017 23:04
273683	5	247738	SPHvDTUD	Software Analyst	Down	247122	DH	Senior Advisor	7/12/2017 1:56
273683	5	247738	SPHvDTUD	Software Analyst	Up	247125	SPHvDTUD	Software Architect	7/11/2017 3:26
273683	5	247738	SPHvDTUD	Software Analyst	Up	247159	SPHvDTUD	Software Analyst	7/11/2017 3:38
273683	5	247738	SPHvDTUD	Software Analyst	Up	247162	TBSPvKU?GD	Business Architect	7/13/2017 7:30
273683	5	247738	SPHvDTUD	Software Analyst	Up	247165	KÖS?GD	Expert Business Analyst	7/25/2017 1:43
273683	5	247738	SPHvDTUD	Software Analyst	Up	247178	ÇKBD	Software Analyst	7/12/2017 7:02
273683	5	247738	SPHvDTUD	Software Analyst	Up	247182	ÜYvTUD	Software Analyst	7/11/2017 3:34
273683	5	247738	SPHvDTUD	Software Analyst	Up	247195	TvPYD	Project Manager	7/24/2017 14:01
273683	5	247738	SPHvDTUD	Software Analyst	Up	247227	SPHvDTUD	Software Analyst	7/12/2017 7:01
273683	5	247738	SPHvDTUD	Software Analyst	Up	247238	KÖSD	Software Architect	7/11/2017 6:38
273683	5	247738	SPHvDTUD	Software Analyst	Up	247252	ÖUD	Program Director	7/11/2017 23:17
273683	5	247738	SPHvDTUD	Software Analyst	Up	247265	SPHvDTUD	Software Analyst	7/11/2017 4:43
273683	5	247738	SPHvDTUD	Software Analyst	Up	247267	KÖS?GD	Business Analyst	7/11/2017 5:51
273683	5	247738	SPHvDTUD	Software Analyst	Up	247275	MvMUD	Software Architect	7/20/2017 23:06
273683	5	247738	SPHvDTUD	Software Analyst	Up	247283	UBD	Expert Business Analyst	7/12/2017 23:10
273683	5	247738	SPHvDTUD	Software Analyst	Up	247287	Ü?D	Software Architect	7/11/2017 7:14
273683	5	247738	SPHvDTUD	Software Analyst	Up	247305	KÖS?GD	Expert Business Analyst	7/24/2017 1:37
273683	5	247738	SPHvDTUD	Software Analyst	Up	247335	ÇKBD	Software Analyst	7/13/2017 6:53
273683	5	247738	SPHvDTUD	Software Analyst	Up	247338	SPHvDTUD	Software Architect	7/17/2017 6:58
273683	5	247738	SPHvDTUD	Software Analyst	Up	247342	K?vTD	Software Analyst	7/14/2017 1:26
273683	5	247738	SPHvDTUD	Software Analyst	Up	247343	K?vTD	Software Analyst	7/12/2017 4:35
273683	5	247738	SPHvDTUD	Software Analyst	Up	247353	SPHvDTUD	Software Analyst	7/19/2017 2:02
273683	5	247738	SPHvDTUD	Software Analyst	Up	247369	FvKUD	Software Analyst	7/20/2017 6:41
273683	5	247738	SPHvDTUD	Software Analyst	Up	247371	MKDD	Solution Architect	7/11/2017 5:15
273683	5	247738	SPHvDTUD	Software Analyst	Up	247404	DH	Consultant	7/24/2017 7:13
273683	5	247738	SPHvDTUD	Software Analyst	Up	247409	MvMUD	Team Manager (Deputy)	7/11/2017 23:54
273683	5	247738	SPHvDTUD	Software Analyst	Up	247436	K?vTD	Software Analyst	7/13/2017 0:54
273683	5	247738	SPHvDTUD	Software Analyst	Down	247440	KÜGD	Team Manager (Deputy)	7/12/2017 22:50
273683	5	247738	SPHvDTUD	Software Analyst	Up	247455	FvKUD	Software Architect	7/13/2017 6:08
273683	5	247738	SPHvDTUD	Software Analyst	Up	247462	KÖS?GD	Team Manager (IA)	7/11/2017 3:45
273683	5	247738	SPHvDTUD	Software Analyst	Up	247468	MKDD	Solution Architect	7/16/2017 22:46
273683	5	247738	SPHvDTUD	Software Analyst	Up	247488	FvKUD	Software Analyst	7/24/2017 7:14
273683	5	247738	SPHvDTUD	Software Analyst	Up	247499	SPHvDTUD	Software Analyst	7/12/2017 6:57
273683	5	247738	SPHvDTUD	Software Analyst	Up	247502	SUD	Software Architect	7/25/2017 1:10
273683	5	247738	SPHvDTUD	Software Analyst	Up	247518	MKDD	Software Analyst	7/20/2017 2:10
273683	5	247738	SPHvDTUD	Software Analyst	Up	247527	ÇKBD	Software Analyst	7/11/2017 3:27
273683	5	247738	SPHvDTUD	Software Analyst	Up	247530	TBSPvKU?GD	Business Architect	7/11/2017 6:17
273683	5	247738	SPHvDTUD	Software Analyst	Up	247542	ÇKBD	Software Architect	7/11/2017 6:30
273683	5	247738	SPHvDTUD	Software Analyst	Up	247549	ÇKBD	Software Architect	7/11/2017 3:49
273683	5	247738	SPHvDTUD	Software Analyst	Down	247554	K?vTD	Software Analyst	7/13/2017 2:10
273683	5	247738	SPHvDTUD	Software Analyst	Up	247562	SPHvDTUD	Manager	7/13/2017 22:42
273683	5	247738	SPHvDTUD	Software Analyst	Up	247569	DH	Consultant	7/24/2017 22:46
273683	5	247738	SPHvDTUD	Software Analyst	Up	247589	KÖSD	Software Engineer	7/11/2017 6:19
273683	5	247738	SPHvDTUD	Software Analyst	Down	247593	MKDD	Software Analyst	7/25/2017 0:18
273683	5	247738	SPHvDTUD	Software Analyst	Up	247608	KÖS?GD	Project Officer	7/17/2017 4:31
273683	5	247738	SPHvDTUD	Software Analyst	Up	247614	FvKUD	Software Analyst	7/25/2017 0:11
273683	5	247738	SPHvDTUD	Software Analyst	Up	247615	K?vTD	Software Analyst	7/12/2017 4:22
273683	5	247738	SPHvDTUD	Software Analyst	Up	247616	MKDD	Software Analyst	7/25/2017 0:28
273683	5	247738	SPHvDTUD	Software Analyst	Up	247620	SPHvDTUD	Software Analyst	7/12/2017 7:28
273683	5	247738	SPHvDTUD	Software Analyst	Down	247622	TBSPvKU?GD	Business Architect	7/13/2017 1:09
273683	5	247738	SPHvDTUD	Software Analyst	Up	247642	MvMUD	Senior Solution Architect	7/24/2017 1:26
273683	5	247738	SPHvDTUD	Software Analyst	Up	247647	DH	Architectural Consultant	7/13/2017 5:32
273683	5	247738	SPHvDTUD	Software Analyst	Up	247660	MvMUD	Software Analyst	7/24/2017 7:15
273683	5	247738	SPHvDTUD	Software Analyst	Up	247698	K?vTD	Manager	7/13/2017 1:59
273683	5	247738	SPHvDTUD	Software Analyst	Up	247707	KÖSD	Software Engineer	7/12/2017 7:07
273683	5	247738	SPHvDTUD	Software Analyst	Up	247711	KÖSD	Manager	7/24/2017 7:36
273683	5	247738	SPHvDTUD	Software Analyst	Up	247716	SPHvDTUD	Software Analyst	7/19/2017 0:10
273683	5	247738	SPHvDTUD	Software Analyst	Up	247738	SPHvDTUD	Software Analyst	7/11/2017 3:26
273683	5	247738	SPHvDTUD	Software Analyst	Up	247749	KÜGD	Software Analyst	7/11/2017 4:54
273683	5	247738	SPHvDTUD	Software Analyst	Up	247750	FvKUD	Software Analyst	7/11/2017 3:50
273683	5	247738	SPHvDTUD	Software Analyst	Up	247754	K?vTD	Software Architect	7/13/2017 1:01
273683	5	247738	SPHvDTUD	Software Analyst	Up	247762	SPHvDTUD	Software Analyst	7/11/2017 3:33
273683	5	247738	SPHvDTUD	Software Analyst	Up	247765	SAvS?D	Software Analyst	7/12/2017 0:10
273683	5	247738	SPHvDTUD	Software Analyst	Up	247775	MKDD	Software Analyst	7/20/2017 4:46
273683	5	247738	SPHvDTUD	Software Analyst	Up	247781	SPHvDTUD	Software Analyst	7/12/2017 1:46
273683	5	247738	SPHvDTUD	Software Analyst	Up	247785	TBSPvKU?GD	Program Manager	7/11/2017 5:23
273683	5	247738	SPHvDTUD	Software Analyst	Down	247789	SG	Solution Architect	7/19/2017 22:52
273683	5	247738	SPHvDTUD	Software Analyst	Up	247807	TBSPvKU?GD	Expert Business Analyst	7/19/2017 22:17
273683	5	247738	SPHvDTUD	Software Analyst	Up	247812	Mobil ÖUD	Director (Deputy)	7/20/2017 6:25
273683	5	247738	SPHvDTUD	Software Analyst	Up	247818	TBSPvKU?GD	Expert Business Analyst	7/13/2017 0:33
273683	5	247738	SPHvDTUD	Software Analyst	Up	247824	MKDD	Software Architect	7/25/2017 0:36
273683	5	247738	SPHvDTUD	Software Analyst	Up	247842	TBSPvKU?GD	Business Architect	7/13/2017 3:51
273683	5	247738	SPHvDTUD	Software Analyst	Up	247849	ÇDD	Software Architect	7/19/2017 10:46
273683	5	247738	SPHvDTUD	Software Analyst	Up	247885	SUD	Software Analyst	7/25/2017 1:11
273683	5	247738	SPHvDTUD	Software Analyst	Up	247891	K?vTD	Software Analyst	7/13/2017 4:11
273683	5	247738	SPHvDTUD	Software Analyst	Up	247892	SAvS?D	Solution Architect	7/21/2017 5:27
273683	5	247738	SPHvDTUD	Software Analyst	Up	247911	MKDD	Software Engineer	7/11/2017 5:41
273683	5	247738	SPHvDTUD	Software Analyst	Up	247926	MvKDY?GD	Project Officer	7/11/2017 4:53
273683	5	247738	SPHvDTUD	Software Analyst	Down	247954	BH	Staff_Hosp	7/20/2017 13:01
273683	5	247738	SPHvDTUD	Software Analyst	Up	247993	BH	Staff_Hosp	7/11/2017 4:37
273683	5	247738	SPHvDTUD	Software Analyst	Up	248022	BH	Staff_Hosp	7/12/2017 7:01
273683	5	247738	SPHvDTUD	Software Analyst	Up	248072	STAJYER	Intern	7/12/2017 3:32
273683	5	247738	SPHvDTUD	Software Analyst	Up	248486	TBSPvKU?GD	Expert Business Analyst	7/21/2017 3:06
273688	6	247410	FvKUD	Solution Architect	Up	247163	FvKUD	Manager	7/13/2017 5:40
273688	6	247410	FvKUD	Solution Architect	Down	247371	MKDD	Solution Architect	7/11/2017 5:28
273688	6	247410	FvKUD	Solution Architect	Up	247410	FvKUD	Solution Architect	7/12/2017 1:27
273688	6	247410	FvKUD	Solution Architect	Up	247530	TBSPvKU?GD	Business Architect	7/11/2017 23:22
273688	6	247410	FvKUD	Solution Architect	Up	247549	ÇKBD	Software Architect	7/11/2017 4:31
273688	6	247410	FvKUD	Solution Architect	Up	247554	K?vTD	Software Analyst	7/25/2017 1:19
273688	6	247410	FvKUD	Solution Architect	Up	247657	K?vTD	Team Manager	7/11/2017 22:59
273688	6	247410	FvKUD	Solution Architect	Up	247698	K?vTD	Manager	7/13/2017 13:44
273688	6	247410	FvKUD	Solution Architect	Up	247708	TBSPvKU?GD	Program Manager	7/13/2017 5:20
273688	6	247410	FvKUD	Solution Architect	Up	247824	MKDD	Software Architect	7/25/2017 0:36
273688	6	247410	FvKUD	Solution Architect	Up	247836	SUD	Software Analyst	7/20/2017 7:38
273688	6	247410	FvKUD	Solution Architect	Down	247848	Ü?D	Software Analyst	7/25/2017 0:49
273688	6	247410	FvKUD	Solution Architect	Up	247868	FvKUD	Director	7/13/2017 7:07
273688	6	247410	FvKUD	Solution Architect	Up	247928	MKDD	Software Analyst	7/11/2017 4:53
273688	6	247410	FvKUD	Solution Architect	Down	247954	BH	Staff_Hosp	7/20/2017 13:01
273688	6	247410	FvKUD	Solution Architect	Up	248072	STAJYER	Intern	7/12/2017 3:32
273689	7	247698	K?vTD	Manager	Down	247122	DH	Senior Advisor	7/11/2017 23:09
273689	7	247698	K?vTD	Manager	Down	247125	SPHvDTUD	Software Architect	7/11/2017 7:38
273689	7	247698	K?vTD	Manager	Up	247127	K?vTD	Software Engineer	7/11/2017 23:18
273689	7	247698	K?vTD	Manager	Up	247151	K?vTD	Director	7/25/2017 0:38
273689	7	247698	K?vTD	Manager	Up	247163	FvKUD	Manager	7/13/2017 5:40
273689	7	247698	K?vTD	Manager	Up	247166	K?vTD	Solution Architect	7/23/2017 23:52
273689	7	247698	K?vTD	Manager	Up	247238	KÖSD	Software Architect	7/11/2017 6:37
273689	7	247698	K?vTD	Manager	Up	247326	ÖUD	Manager	7/22/2017 23:28
273689	7	247698	K?vTD	Manager	Up	247342	K?vTD	Software Analyst	7/13/2017 6:56
273689	7	247698	K?vTD	Manager	Down	247345	KÜGD	Software Analyst	7/24/2017 22:35
273689	7	247698	K?vTD	Manager	Down	247371	MKDD	Solution Architect	7/11/2017 5:28
273689	7	247698	K?vTD	Manager	Up	247472	KÜGD	Solution Architect	7/20/2017 4:34
273689	7	247698	K?vTD	Manager	Up	247536	K?vTD	Software Analyst	7/13/2017 1:50
273689	7	247698	K?vTD	Manager	Up	247554	K?vTD	Software Analyst	7/20/2017 23:40
273689	7	247698	K?vTD	Manager	Up	247682	K?vTD	Software Engineer	7/25/2017 0:21
273689	7	247698	K?vTD	Manager	Up	247698	K?vTD	Manager	7/13/2017 1:59
273689	7	247698	K?vTD	Manager	Up	247725	TBSPvKU?GD	Business Analyst	7/25/2017 0:10
273689	7	247698	K?vTD	Manager	Down	247750	FvKUD	Software Analyst	7/11/2017 7:11
273689	7	247698	K?vTD	Manager	Up	247763	KÜGD	Solution Architect	7/21/2017 0:15
273689	7	247698	K?vTD	Manager	Up	247789	SG	Solution Architect	7/19/2017 22:52
273689	7	247698	K?vTD	Manager	Up	247824	MKDD	Software Architect	7/25/2017 0:20
273689	7	247698	K?vTD	Manager	Up	247848	Ü?D	Software Analyst	7/25/2017 0:49
273689	7	247698	K?vTD	Manager	Down	247866	MKDD	Software Analyst	7/25/2017 0:32
273689	7	247698	K?vTD	Manager	Up	247868	FvKUD	Director	7/13/2017 7:07
273689	7	247698	K?vTD	Manager	Up	247878	K?vTD	Software Analyst	7/13/2017 6:33
273689	7	247698	K?vTD	Manager	Up	247904	ÇKBD	Manager	7/13/2017 8:22
273689	7	247698	K?vTD	Manager	Up	247926	MvKDY?GD	Project Officer	7/11/2017 4:52
273708	8	247589	KÖSD	Software Engineer	Up	247125	SPHvDTUD	Software Architect	7/25/2017 0:35
273708	8	247589	KÖSD	Software Engineer	Up	247157	KÖSD	Software Engineer	7/12/2017 5:07
273708	8	247589	KÖSD	Software Engineer	Up	247223	KÖSD	Solution Architect	7/12/2017 12:30
273708	8	247589	KÖSD	Software Engineer	Up	247238	KÖSD	Software Architect	7/11/2017 6:40
273708	8	247589	KÖSD	Software Engineer	Up	247267	KÖS?GD	Business Analyst	7/11/2017 5:51
273708	8	247589	KÖSD	Software Engineer	Down	247345	KÜGD	Software Analyst	7/24/2017 22:36
273708	8	247589	KÖSD	Software Engineer	Up	247351	KÖSD	Software Engineer	7/12/2017 6:39
273708	8	247589	KÖSD	Software Engineer	Up	247371	MKDD	Solution Architect	7/11/2017 5:39
273708	8	247589	KÖSD	Software Engineer	Up	247417	KÖSD	Software Analyst	7/11/2017 6:04
273708	8	247589	KÖSD	Software Engineer	Down	247440	KÜGD	Team Manager (Deputy)	7/12/2017 22:51
273708	8	247589	KÖSD	Software Engineer	Up	247463	KÖSD	Software Analyst	7/11/2017 6:57
273708	8	247589	KÖSD	Software Engineer	Up	247474	ÇKBD	Team Manager	7/24/2017 7:40
273708	8	247589	KÖSD	Software Engineer	Up	247497	KÖSD	Software Engineer	7/11/2017 5:54
273708	8	247589	KÖSD	Software Engineer	Up	247525	KÖSD	Software Engineer	7/13/2017 0:46
273708	8	247589	KÖSD	Software Engineer	Up	247532	KÖSD	Software Engineer	7/11/2017 5:50
273708	8	247589	KÖSD	Software Engineer	Up	247537	KÖSD	Software Analyst	7/20/2017 3:49
273708	8	247589	KÖSD	Software Engineer	Up	247554	K?vTD	Software Analyst	7/25/2017 1:18
273708	8	247589	KÖSD	Software Engineer	Up	247563	BTD	Expert System Support Deputy	7/11/2017 5:49
273708	8	247589	KÖSD	Software Engineer	Up	247589	KÖSD	Software Engineer	7/11/2017 5:34
273708	8	247589	KÖSD	Software Engineer	Up	247698	K?vTD	Manager	7/13/2017 13:43
273708	8	247589	KÖSD	Software Engineer	Up	247707	KÖSD	Software Engineer	7/12/2017 7:05
273708	8	247589	KÖSD	Software Engineer	Up	247721	Ü?D	Software Engineer	7/12/2017 3:57
273708	8	247589	KÖSD	Software Engineer	Up	247761	FvKUD	Software Architect	7/11/2017 6:56
273708	8	247589	KÖSD	Software Engineer	Up	247790	KÖSD	Software Architect	7/11/2017 5:44
273708	8	247589	KÖSD	Software Engineer	Up	247824	MKDD	Software Architect	7/25/2017 0:40
273708	8	247589	KÖSD	Software Engineer	Down	247851	ÜYvTUD	Director	7/24/2017 7:13
273708	8	247589	KÖSD	Software Engineer	Up	247928	MKDD	Software Analyst	7/11/2017 5:34
273718	9	247698	K?vTD	Manager	Up	247127	K?vTD	Software Engineer	7/11/2017 23:18
273718	9	247698	K?vTD	Manager	Up	247144	K?vTD	Software Analyst	7/13/2017 3:48
273718	9	247698	K?vTD	Manager	Up	247147	K?vTD	Software Analyst	7/19/2017 7:57
273718	9	247698	K?vTD	Manager	Up	247148	K?vTD	Software Engineer	7/25/2017 0:12
273718	9	247698	K?vTD	Manager	Up	247149	TBSPvKU?GD	Expert Business Analyst	7/25/2017 1:54
273718	9	247698	K?vTD	Manager	Up	247151	K?vTD	Director	7/17/2017 3:21
273718	9	247698	K?vTD	Manager	Up	247163	FvKUD	Manager	7/13/2017 5:40
273718	9	247698	K?vTD	Manager	Up	247166	K?vTD	Solution Architect	7/23/2017 23:52
273718	9	247698	K?vTD	Manager	Up	247168	TBSPvKU?GD	Business Architect	7/17/2017 4:42
273718	9	247698	K?vTD	Manager	Up	247185	K?vTD	Software Analyst	7/25/2017 1:05
273718	9	247698	K?vTD	Manager	Up	247192	HYD	Application Support Expert	7/25/2017 1:57
273718	9	247698	K?vTD	Manager	Up	247208	K?vTD	Solution Architect	7/23/2017 22:57
273718	9	247698	K?vTD	Manager	Up	247217	ÖUD	Business Architect	7/25/2017 1:19
273718	9	247698	K?vTD	Manager	Up	247227	SPHvDTUD	Software Analyst	7/21/2017 3:41
273718	9	247698	K?vTD	Manager	Down	247267	KÖS?GD	Business Analyst	7/20/2017 3:41
273718	9	247698	K?vTD	Manager	Up	247269	MvMUD	Software Architect	7/25/2017 1:15
273718	9	247698	K?vTD	Manager	Up	247275	MvMUD	Software Architect	7/20/2017 23:03
273718	9	247698	K?vTD	Manager	Up	247308	KÜGD	Software Analyst	7/23/2017 22:47
273718	9	247698	K?vTD	Manager	Up	247310	SPHvDTUD	Software Analyst	7/24/2017 0:39
273718	9	247698	K?vTD	Manager	Up	247326	ÖUD	Manager	7/22/2017 23:26
273718	9	247698	K?vTD	Manager	Up	247331	SAvS?D	Software Analyst	7/21/2017 4:36
273718	9	247698	K?vTD	Manager	Up	247342	K?vTD	Software Analyst	7/19/2017 8:17
273718	9	247698	K?vTD	Manager	Up	247343	K?vTD	Software Analyst	7/12/2017 4:34
273718	9	247698	K?vTD	Manager	Down	247345	KÜGD	Software Analyst	7/24/2017 22:35
273718	9	247698	K?vTD	Manager	Up	247370	SAvS?D	Software Analyst	7/17/2017 7:24
273718	9	247698	K?vTD	Manager	Down	247371	MKDD	Solution Architect	7/11/2017 5:59
273718	9	247698	K?vTD	Manager	Up	247375	ÇKBD	Solution Architect	7/25/2017 1:45
273718	9	247698	K?vTD	Manager	Up	247385	ÜYvTUD	Software Architect	7/25/2017 1:43
273718	9	247698	K?vTD	Manager	Up	247400	Mobil ÖUD	Software Analyst	7/23/2017 23:05
273718	9	247698	K?vTD	Manager	Up	247407	MvMUD	Software Analyst	7/24/2017 8:08
273718	9	247698	K?vTD	Manager	Up	247410	FvKUD	Solution Architect	7/13/2017 22:43
273718	9	247698	K?vTD	Manager	Up	247424	K?vTD	Software Analyst	7/25/2017 0:09
273718	9	247698	K?vTD	Manager	Up	247436	K?vTD	Software Analyst	7/19/2017 6:18
273718	9	247698	K?vTD	Manager	Up	247468	MKDD	Solution Architect	7/17/2017 5:00
273718	9	247698	K?vTD	Manager	Up	247477	K?vTD	Software Analyst	7/25/2017 0:16
273718	9	247698	K?vTD	Manager	Up	247510	?vM?D	Administrative Affairs Superviser	7/24/2017 0:31
273718	9	247698	K?vTD	Manager	Up	247524	K?vTD	Solution Architect	7/13/2017 2:06
273718	9	247698	K?vTD	Manager	Up	247530	TBSPvKU?GD	Business Architect	7/11/2017 6:15
273718	9	247698	K?vTD	Manager	Up	247536	K?vTD	Software Analyst	7/13/2017 1:50
273718	9	247698	K?vTD	Manager	Up	247554	K?vTD	Software Analyst	7/14/2017 10:28
273718	9	247698	K?vTD	Manager	Up	247562	SPHvDTUD	Manager	7/24/2017 1:03
273718	9	247698	K?vTD	Manager	Up	247583	ÖUD	Software Analyst	7/24/2017 7:15
273718	9	247698	K?vTD	Manager	Up	247586	TBSPvKU?GD	Manager	7/25/2017 1:12
273718	9	247698	K?vTD	Manager	Up	247609	SPHvDTUD	Solution Architect	7/24/2017 7:17
273718	9	247698	K?vTD	Manager	Up	247642	MvMUD	Senior Solution Architect	7/24/2017 1:26
273718	9	247698	K?vTD	Manager	Up	247674	ÇKBD	Software Analyst	7/12/2017 4:15
